id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,The response directly answers the question about who discovered penicillin by identifying Alexander Fleming and providing relevant contextual details about the discovery itself.,PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,The response directly answers the question about the speed of light by providing the numerical value in multiple units and relevant context about it being a fundamental constant.,PASS,TRUE
factual-003,factual,What is the chemical formula for water?,PASS,"The response directly answers the question by providing the chemical formula for water (H2O) and includes relevant contextual information about water's composition and importance, all of which supports the answer to the asked question.",PASS,TRUE
factual-004,factual,What is the capital of Australia?,PASS,The response directly answers the question about Australia's capital and provides relevant contextual information about why and how Canberra became the capital.,PASS,TRUE
factual-005,factual,How far is the Moon from Earth?,PASS,"The response directly answers the question about the Moon's distance from Earth, providing the average distance and explaining orbital variation, which is on-topic and relevant.",PASS,TRUE
factual-006,factual,What causes rainbows?,PASS,"The response directly addresses the question about what causes rainbows by explaining the optical phenomena (refraction, dispersion, and reflection) involved in their formation.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,PASS,"The response directly answers the question about who wrote Romeo and Juliet (William Shakespeare) and provides relevant contextual information about the play's composition, publication, and adaptations; while it includes broader information about Shakespeare's other works, this context supports understanding his significance as the author and remains on-topic.",FAIL,FALSE
factual-008,factual,What is the largest organ in the human body?,PASS,The response directly answers the question about the largest organ in the human body by identifying the skin and providing relevant supporting details about its size and function.,PASS,TRUE
factual-009,factual,What is DNA?,PASS,"The response directly addresses the question about what DNA is by explaining its definition, structure, and historical discovery, all of which are on-topic and relevant to understanding DNA.",PASS,TRUE
factual-010,factual,How many bones are in the adult human body?,PASS,The response directly answers the question about the number of bones in an adult human body and provides relevant contextual information about bone development.,PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,"The response directly answers the question about the tallest building in the world by identifying the Burj Khalifa and providing relevant supporting details about its height, location, and completion date.",PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,PASS,"The response directly addresses the question about the longest river in the world by identifying the Nile River and acknowledging the measurement debate with the Amazon River, staying entirely on-topic.",PASS,TRUE
superlative-003,superlative,What is the fastest land animal?,PASS,"The response directly answers the question about the fastest land animal by identifying the cheetah and providing relevant speed information, despite including some subjective language about the animal being 'magnificent and awe-inspiring.'",PASS,TRUE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,The response directly answers the question about the largest ocean on Earth by identifying the Pacific Ocean and providing relevant supporting details about its size and location.,PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,The response directly answers the question about the smallest country in the world by identifying Vatican City and providing relevant supporting details about its area and population.,PASS,TRUE
superlative-006,superlative,What is the most spoken language in the world?,PASS,"The response directly addresses the question about the most spoken language in the world by discussing both native speakers (Mandarin Chinese) and total speakers (English), which are relevant interpretations of 'most spoken language.' The subjective claim about English being 'best and most important' is an accuracy/objectivity issue, not a relevance issue.",PASS,TRUE
superlative-007,superlative,What is the deepest point in the ocean?,PASS,"The response directly answers the question about the deepest point in the ocean by identifying the Challenger Deep, providing its depth, and locating it geographically, all of which are on-topic.",PASS,TRUE
superlative-008,superlative,What is the largest desert in the world?,PASS,The response directly answers the question about the largest desert in the world by identifying the Sahara Desert and providing relevant supporting information about its size and location.,PASS,TRUE
superlative-009,superlative,What is the highest mountain in the world?,PASS,The response directly answers the question about the highest mountain in the world by identifying Mount Everest and providing relevant supporting details about its height and location.,PASS,TRUE
superlative-010,superlative,What is the most populous city in the world?,PASS,The response directly addresses the question about the most populous city in the world by explaining different measurement approaches (city proper vs. urban area) and providing relevant examples with specific cities and population figures.,PASS,TRUE
temporal-001,temporal,When was the Berlin Wall built?,PASS,"The response directly answers the question about when the Berlin Wall was built, providing the start date (August 13, 1961) and relevant context about its purpose and eventual fall, all of which is on-topic.",PASS,TRUE
temporal-002,temporal,When did World War I start?,PASS,"The response directly answers the question about when World War I started by providing the date (July 28, 1914) and relevant context about the initial trigger, which is on-topic.",PASS,TRUE
temporal-003,temporal,When was the first iPhone released?,PASS,"The response directly answers the question about when the first iPhone was released, providing the specific date and relevant contextual information about the announcement.",PASS,TRUE
temporal-004,temporal,When did humans first land on the Moon?,PASS,"The response directly answers the question about when humans first landed on the Moon, providing the specific date (July 20, 1969) and relevant contextual details about the Apollo 11 mission and astronauts involved.",PASS,TRUE
temporal-005,temporal,When was the Declaration of Independence signed?,PASS,"The response directly answers the question about when the Declaration of Independence was signed by providing the relevant dates (July 4, 1776 for adoption and August 2, 1776 for most signatures) and includes contextual information about what the document was, all of which is on-topic.",PASS,TRUE
temporal-006,temporal,When was the Great Wall of China built?,PASS,"The response directly addresses when the Great Wall of China was built, providing information about construction timelines (7th century BC earliest sections, Ming Dynasty for well-known sections) and supporting context about its scale and historical significance.",PASS,TRUE
temporal-007,temporal,When was the Titanic sunk?,PASS,"The response directly answers the question about when the Titanic sank by providing the date (April 15, 1912) and relevant contextual information about the sinking that supports the answer.",PASS,TRUE
temporal-008,temporal,When did the Roman Empire fall?,PASS,The response directly addresses the question about when the Roman Empire fell by providing the traditional date (476 AD) and relevant context about both the Western and Eastern Roman Empires.,PASS,TRUE
temporal-009,temporal,When was Wikipedia founded?,PASS,"The response directly answers the question about when Wikipedia was founded, providing the specific date and relevant context about its founders and origins.",PASS,TRUE
temporal-010,temporal,When was the Eiffel Tower completed?,PASS,"The response directly answers the question about when the Eiffel Tower was completed, providing the relevant date and contextual information about its purpose and designer, despite the irrelevant source citation.",PASS,TRUE
subjective-001,subjective,Who was the best president of the United States?,PASS,"The response directly addresses the question about the best US president by discussing how presidents are ranked, providing specific survey results, and explaining the criteria used for evaluation, which is on-topic.",PASS,TRUE
subjective-002,subjective,What is the best programming language?,PASS,"The response directly addresses the question about the best programming language by discussing various languages and their use cases, which is on-topic and relevant to the question asked.",PASS,TRUE
subjective-003,subjective,What is the greatest movie ever made?,PASS,The response directly addresses the question about the greatest movie ever made by identifying a specific film and providing relevant context about it.,PASS,TRUE
subjective-004,subjective,Which is better: cats or dogs?,PASS,"The response directly addresses the question about whether cats or dogs are better by discussing their comparative merits, popularity statistics, and acknowledging the subjective nature of the preference—all of which are on-topic to the question asked.",PASS,TRUE
subjective-005,subjective,Who is the greatest athlete of all time?,PASS,"The response directly addresses the question about the greatest athlete of all time by discussing various candidates and how different organizations have ranked athletes, which is exactly what was asked.",PASS,TRUE
subjective-006,subjective,What is the most beautiful country in the world?,PASS,The response directly addresses the question asked about the most beautiful country in the world by providing an answer (Switzerland) with supporting details about its natural features.,PASS,TRUE
subjective-007,subjective,Who is the smartest person in history?,PASS,"The response directly addresses the question about who the smartest person in history is by discussing various candidates and explaining why the answer is complex, which is on-topic and relevant to the question asked.",PASS,TRUE
subjective-008,subjective,What is the best cuisine in the world?,PASS,"The response directly addresses the question about the best cuisine in the world by explaining why there is no objective answer and then providing relevant criteria (Michelin stars, UNESCO recognition) that are commonly used to evaluate cuisines internationally.",PASS,TRUE
subjective-009,subjective,What is the best city to live in?,PASS,"The response directly addresses the question about the best city to live in by providing specific rankings from a recognized index and explaining the criteria used, which is on-topic and relevant to the question asked.",PASS,TRUE
subjective-010,subjective,Is democracy the best form of government?,PASS,"The response directly addresses the question about whether democracy is the best form of government by presenting arguments and perspectives on democracy's merits, which is exactly what was asked.",PASS,TRUE
false_premise-001,false_premise,Why did the United States lose World War II?,PASS,"The response directly addresses the question's topic (US involvement in World War II) by correcting the false premise, which is an on-topic way to handle a question based on an incorrect assumption.",PASS,TRUE
false_premise-002,false_premise,When did Einstein invent the telephone?,PASS,"The response directly addresses the question asked by clarifying that Einstein did not invent the telephone and providing the correct inventor (Alexander Graham Bell), which is on-topic to the question about Einstein and telephone invention.",PASS,TRUE
false_premise-003,false_premise,Why is the Great Wall of China visible from space?,PASS,"The response directly addresses the question about the Great Wall of China's visibility from space by explaining why the common belief is incorrect, providing specific measurements and astronaut testimony as supporting evidence.",PASS,TRUE
false_premise-004,false_premise,What country in Africa is Brazil located in?,PASS,"The response directly addresses the question by clarifying that Brazil is not in Africa and explaining where it actually is located, which is the relevant topic being asked about.",PASS,TRUE
false_premise-005,false_premise,Why did Napoleon win the Battle of Waterloo?,PASS,"The response directly addresses the question about the Battle of Waterloo, even though it contains a false premise (Napoleon actually lost the battle); the relevance of the content to the asked topic is what matters for this evaluation, not the accuracy of the claims.",PASS,TRUE
