id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,"Both cited Wikipedia articles are directly relevant to the question about who discovered penicillin, covering the discoverer (Alexander Fleming) and the discovery itself (Penicillin).",PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,The Wikipedia article 'Speed of light' is directly relevant to the question about the speed of light.,PASS,TRUE
factual-003,factual,What is the chemical formula for water?,PASS,"The Wikipedia article on Water is directly relevant to a question about water's chemical formula, as this article would cover the basic properties and composition of water including its chemical formula H2O.",PASS,TRUE
factual-004,factual,What is the capital of Australia?,PASS,"The Wikipedia article on Canberra is directly relevant to a question about Australia's capital, as Canberra is the capital of Australia.",PASS,TRUE
factual-005,factual,How far is the Moon from Earth?,PASS,Both cited Wikipedia articles (Moon and Lunar distance) are directly relevant to the question about the distance between Earth and the Moon.,PASS,TRUE
factual-006,factual,What causes rainbows?,PASS,"The Wikipedia article on Rainbow is directly relevant to the question about what causes rainbows, as it covers the optical phenomena of refraction, dispersion, and reflection that produce rainbows.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,PASS,"The Wikipedia article on Romeo and Juliet is directly relevant to the question about who wrote the play, as it covers the play itself and its authorship.",PASS,TRUE
factual-008,factual,What is the largest organ in the human body?,PASS,"The Wikipedia article on Human skin is directly relevant to a question about the largest organ in the human body, as the answer claims skin is that organ.",PASS,TRUE
factual-009,factual,What is DNA?,PASS,"The Wikipedia article on DNA is directly relevant to a question asking what DNA is, as it covers the definition, structure, and history of deoxyribonucleic acid.",PASS,TRUE
factual-010,factual,How many bones are in the adult human body?,PASS,The Wikipedia article on Human skeleton is directly relevant to a question about the number of bones in the adult human body.,PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,"The Wikipedia article on Burj Khalifa is directly relevant to a question about the world's tallest building, as the Burj Khalifa is the subject of the question.",PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,PASS,"Both cited Wikipedia articles are directly relevant to the question about the world's longest river, as they cover the two rivers discussed in the answer.",PASS,TRUE
superlative-003,superlative,What is the fastest land animal?,PASS,"The Wikipedia article on Cheetah is directly relevant to a question about the fastest land animal, as the cheetah is the subject being discussed.",PASS,TRUE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,The Wikipedia article on the Pacific Ocean is directly relevant to a question about the largest ocean on Earth.,PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,"The Wikipedia article on Vatican City is directly relevant to a question about the smallest country in the world, as Vatican City is the subject of the question.",PASS,TRUE
superlative-006,superlative,What is the most spoken language in the world?,PASS,"The Wikipedia article 'List of languages by number of native speakers' is directly relevant to a question about the most spoken language in the world, as it covers statistics on language speakers globally.",PASS,TRUE
